Cluster,Target_Gene,Drug_Name,Interaction_Score,Type,Source
EMT,GPM6B,DIVARASIB,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,LY3499446,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,SOTORASIB,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,RMC-6236,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,FULZERASIB,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,BI-2493,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,MRTX1133,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,COMPOUND 25 [PMID: 32023060],3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,OPNURASIB,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,AZD4625,3.070811679934443,['modulator'],['GuideToPharmacology']
EMT,GPM6B,LUNA18,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,BI-0474,3.070811679934443,['inhibitor'],['GuideToPharmacology']
EMT,CXCL13,RITUXIMAB,2.900211031049196,[],['PharmGKB']
EMT,BCL2A1,SR9009,2.900211031049196,['agonist'],['GuideToPharmacology']
EMT,AQP1,CARBONIC ANHYDRASE INHIBITOR,2.747568345204501,[],['NCI']
EMT,CD83,SULFASALAZINE,2.175158273286897,[],['NCI']
EMT,SCG5,CAPSAICIN,2.047207786622962,[],['NCI']
EMT,BCL2,OBLIMERSEN,1.909895069227519,['inhibitor'],"['TTD', 'TdgClinicalTrial', 'TALC']"
EMT,CDKN2A,HMN-214,1.864421377103054,[],['CKB-CORE']
EMT,CDKN2A,POLO-LIKE KINASE 1 INHIBITOR GSK461364,1.864421377103054,[],['CKB-CORE']
EMT,BCL2A1,SR9011,1.740126618629517,['agonist'],['GuideToPharmacology']
EMT,SCG5,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1,1.657263446313826,[],['NCI']
EMT,GAL,HEROIN,1.631368704965172,[],['PharmGKB']
EMT,GAL,IMMUNOTOXIN,1.631368704965172,[],['NCI']
EMT,GPM6B,ERAS-5024,1.535405839967221,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,ADAGRASIB,1.535405839967221,['inhibitor'],['GuideToPharmacology']
EMT,GPM6B,ARS-1620,1.535405839967221,['inhibitor'],['GuideToPharmacology']
EMT,BCL2A1,OBATOCLAX MESYLATE,1.450105515524598,['inhibitor'],['ChEMBL']
EMT,VIM,GELDANAMYCIN,1.392101294903614,[],['NCI']
EMT,AQP1,"H-C[CYS-PHE-LAGL(N&BETA;ME,BENZOYL)-TRP-LYS-THR-PHE-CYS]-OH",1.37378417260225,['agonist'],['GuideToPharmacology']
EMT,AQP1,"L-803,087",1.37378417260225,['agonist'],['GuideToPharmacology']
EMT,AQP1,"H-C[CYS-PHE-LAGL(N&BETA;ME,BENZOYL)-DTRP-LYS-THR-PHE-CYS]-OH",1.37378417260225,['agonist'],['GuideToPharmacology']
EMT,AQP1,NNC269100,1.37378417260225,['agonist'],['GuideToPharmacology']
EMT,AQP1,&BETA;3-TETRAPEPTIDE,1.37378417260225,['agonist'],['GuideToPharmacology']
EMT,AQP1,"H-C[DCYS-PHE-LAGL(N&BETA;ME,BENZOYL)-DTRP-LYS-THR-PHE-CYS]-OH",1.37378417260225,['agonist'],['GuideToPharmacology']
EMT,AQP1,BIM 23295,1.37378417260225,['agonist'],['GuideToPharmacology']
EMT,AQP1,J-2156,1.37378417260225,['agonist'],['GuideToPharmacology']
EMT,APBA2,SB-410220,1.338558937407321,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,CVN766,1.338558937407321,['inhibitor'],['GuideToPharmacology']
EMT,VIM,DIMETHYL SULFOXIDE,1.305094963972138,[],['NCI']
EMT,GAL,ESTRADIOL 3-BENZOATE,1.305094963972138,[],['NCI']
EMT,BCL2,DOLASTATIN 10,1.273263379485013,[],['NCI']
EMT,BCL2,AMINOLEVULINIC ACID,1.273263379485013,[],['NCI']
EMT,BCL2,BEAUVERICIN,1.273263379485013,[],['NCI']
EMT,BCL2,MUC-1 ANTIGEN,1.273263379485013,[],['NCI']
EMT,BCL2,MICELLAR PACLITAXEL,1.273263379485013,[],['NCI']
EMT,CDKN2A,"(10R)-10-METHYL-3-(6-METHYLPYRIDIN-3-YL)-9,10,11,12-TETRAHYDRO-8H-[1,4]DIAZEPINO[5',6':4,5]THIENO[3,2-F]QUINOLIN-8-ONE",1.242947584735369,[],['CKB-CORE']
EMT,VCAM1,PHORBOL 12-MYRISTATE 13-ACETATE,1.160084412419678,[],['NCI']
EMT,CCL4,EPOETIN ALFA,1.023603893311481,[],['NCI']
EMT,CDKN2A,PALBOCICLIB,1.02360389331148,[],"['CIViC', 'ClearityFoundationBiomarkers', 'PharmGKB', 'OncoKB', 'CKB-CORE']"
EMT,CSRP2,BALANOL,1.003919203055491,['inhibitor'],['GuideToPharmacology']
EMT,DKK1,ALENDRONATE SODIUM,0.9667370103497321,[],['PharmGKB']
EMT,BCL2,APRINOCARSEN,0.9549475346137598,[],['NCI']
EMT,CDKN2A,PF-00477736,0.9322106885515273,[],['CKB-CORE']
EMT,CDKN2A,ABEMACICLIB,0.7850195272012861,[],"['ClearityFoundationBiomarkers', 'OncoKB', 'CKB-CORE']"
EMT,GAL,PRASTERONE,0.725052757762299,[],['NCI']
EMT,VIM,ALDESLEUKIN,0.6960506474518071,[],['NCI']
EMT,PLTP,SIMVASTATIN,0.696050647451807,[],['NCI']
EMT,AQP1,[125I]TYR11-SRIF-14,0.6868920863011254,['agonist'],['GuideToPharmacology']
EMT,AQP1,ANALOG 32 [PMID:18543899],0.6868920863011254,['inhibitor'],['GuideToPharmacology']
EMT,AQP1,REMLARSEN,0.6868920863011254,[],['TTD']
EMT,VCAM1,TROGLITAZONE,0.6692794687036607,[],['NCI']
EMT,APBA2,SB-649868,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,RTOXA-43,0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,JNJ-10397049,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,OREXIN-A,0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,CVN45502,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,[3H]-TCS 1102,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,[3H]SB-674042,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,FIRAZOREXTON,0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,OREXIN-B,0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,(R)-YNT-3708,0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,EMPA,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,HTL6641,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,TCS 1102,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,MK-1064,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,"[125I]OREXIN A (HUMAN, MOUSE, RAT)",0.6692794687036606,[],['GuideToPharmacology']
EMT,APBA2,CP-1,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,[3H]-ALMOREXANT,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,JH112,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,"[ALA11, D-LEU15]OREXIN-B",0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,COMPOUND 11 [PMID: 15261275],0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,LSN2424100,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,DANAVOREXTON,0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,ACT-335827,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,COMPOUND 1 [PMID: 33547286],0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,ACT-462206,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,YNT-185,0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,NAG 26,0.6692794687036606,['agonist'],['GuideToPharmacology']
EMT,APBA2,SB-674042,0.6692794687036606,['inhibitor'],['GuideToPharmacology']
EMT,GAL,MIRTAZAPINE,0.6525474819860692,[],['PharmGKB']
EMT,BCL2,PROTUBOXEPIN A,0.6366316897425065,[],['DTC']
EMT,BCL2,MULTIDRUG RESISTANCE MODULATOR,0.6366316897425065,[],['NCI']
EMT,BCL2,SR8278,0.6366316897425065,['inhibitor'],['GuideToPharmacology']
EMT,BCL2,RALTITREXED,0.6366316897425065,[],['NCI']
EMT,C1QC,OCTANOL,0.6214737923676849,['inhibitor'],['GuideToPharmacology']
EMT,DKK1,THERAPEUTIC ANDROSTANOLONE,0.6105707433787781,[],['NCI']
EMT,DKK1,PROTEASOME INHIBITOR,0.5800422062098393,[],['NCI']
EMT,C1QC,CARBENOXOLONE,0.5437895683217243,['inhibitor'],['GuideToPharmacology']
EMT,CDKN2A,RIBOCICLIB,0.5178948269730707,[],"['ClearityFoundationBiomarkers', 'OncoKB', 'CKB-CORE']"
EMT,CXCL10,STAVUDINE,0.4724325661437605,[],['NCI']
EMT,AQP1,BIM 23068,0.4579280575340836,['agonist'],['GuideToPharmacology']
EMT,AQP1,PRL-2915,0.4579280575340836,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,SELTOREXANT,0.446186312469107,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,MK-3697,0.446186312469107,['inhibitor'],['GuideToPharmacology']
EMT,BCL2,ANTI-CD19 CAR T CELLS AT101,0.4244211264950043,['inhibitor'],"['TdgClinicalTrial', 'TALC']"
EMT,BCL2,HYPOXANTHINE,0.4244211264950043,[],['NCI']
EMT,BCL2,LYSOZYME,0.4244211264950043,[],['NCI']
EMT,BCL2,ENDOTHELIN RECEPTOR ANTAGONIST,0.4244211264950043,[],['NCI']
EMT,PRSS2,BORTEZOMIB,0.4094415573245924,[],['DTC']
EMT,CCL4,CYCLOSPORINE,0.4000291077309236,[],['NCI']
EMT,GAL,LIOTHYRONINE,0.3954833224157995,[],['NCI']
EMT,VCAM1,MERCAPTOPURINE,0.3866948041398928,[],['NCI']
EMT,CXCL10,GM-CSF,0.3838514599918053,[],['NCI']
EMT,BCL2,HYPERBARIC OXYGEN,0.3819790138455038,[],['NCI']
EMT,VCAM1,TETRADECANOYLPHORBOL ACETATE,0.378288395354243,[],['NCI']
EMT,CDKN2A,ULIXERTINIB,0.3728842754206109,[],['CKB-CORE']
EMT,CXCL10,ATROPINE,0.3612719623452285,[],['NCI']
EMT,CXCL10,ANTIBIOTIC,0.3612719623452285,[],['NCI']
EMT,AQP1,DES-AA5-[D-TRP8]SRIF,0.3434460431505627,['agonist'],['GuideToPharmacology']
EMT,C1QC,FLUFENAMIC ACID,0.3434460431505627,['inhibitor'],['GuideToPharmacology']
EMT,CXCL10,METHYLPREDNISOLONE,0.3412012977704936,[],['NCI']
EMT,GPM6B,LONAFARNIB,0.3412012977704936,['inhibitor'],['GuideToPharmacology']
EMT,CDKN2A,MILCICLIB,0.3389857049278281,[],['CKB-CORE']
EMT,APBA2,FILOREXANT,0.3346397343518303,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,LEMBOREXANT,0.3346397343518303,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,SB-334867,0.3346397343518303,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,ALMOREXANT,0.3346397343518303,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,SUVOREXANT,0.3346397343518303,['inhibitor'],['GuideToPharmacology']
EMT,APBA2,DARIDOREXANT,0.3346397343518303,['inhibitor'],['GuideToPharmacology']
EMT,C1QC,CA2+,0.3262737409930346,['inhibitor'],['GuideToPharmacology']
EMT,CXCL10,HUMAN CHORIONIC GONADOTROPIN,0.3232433347299414,[],['NCI']
EMT,BCL2,TESETAXEL,0.3183158448712532,[],['TdgClinicalTrial']
EMT,BCL2,DITIOCARB,0.3183158448712532,[],['NCI']
EMT,BCL2,AI-850,0.3183158448712532,[],['TTD']
EMT,BCL2,HEME,0.3183158448712532,['agonist'],['GuideToPharmacology']
EMT,BCL2,APG-2575,0.3183158448712532,['inhibitor'],['ChEMBL']
EMT,BCL2,PELCITOCLAX,0.3183158448712532,[],['TTD']
EMT,BCL2,CAELYX,0.3183158448712532,[],['NCI']
EMT,BCL2,BCL-2 INHIBITOR BCL201,0.3183158448712532,[],['TTD']
EMT,CDKN2A,PF-04691502,0.3107368961838424,[],['CKB-CORE']
EMT,GAL,HYDROCORTISONE BUTYRATE,0.3107368961838424,[],['NCI']
EMT,CDKN2A,TRAMETINIB DIMETHYL SULFOXIDE,0.27767977956854,[],['CKB-CORE']
EMT,CDKN2A,DABRAFENIB,0.2762105743856377,[],"['CIViC', 'CKB-CORE']"
EMT,AQP1,BIM 23454,0.2747568345204502,['inhibitor'],['GuideToPharmacology']
EMT,AQP1,[125I]LTT-SRIF-28,0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,AQP1,BIM 23052,0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,AQP1,CGP 23996,0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,AQP1,[D-TYR8]CYN 154806,0.2747568345204502,['inhibitor'],['GuideToPharmacology']
EMT,AQP1,[125I]CGP 23996,0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,AQP1,KE 108,0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,AQP1,BIM 23627,0.2747568345204502,['inhibitor'],['GuideToPharmacology']
EMT,AQP1,"L-362,855",0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,AQP1,CST-17,0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,AQP1,[L-TYR8]CYN 154806,0.2747568345204502,['inhibitor'],['GuideToPharmacology']
EMT,AQP1,SRIF-14,0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,AQP1,[125I]TYR10-CST14,0.2747568345204502,['agonist'],['GuideToPharmacology']
EMT,BCL2,CILENGITIDE,0.2546526758970026,[],['NCI']
EMT,BCL2,SAPONIN,0.2546526758970026,[],['NCI']
EMT,GAL,ANTIDEPRESSANT AGENT,0.2509798007638728,[],['PharmGKB']
EMT,BCL2,OBATOCLAX,0.2387368836534399,['inhibitor'],"['TTD', 'TdgClinicalTrial', 'TALC']"
EMT,AQP1,CORTISTATIN-14,0.2289640287670418,['agonist'],['GuideToPharmacology']
EMT,CXCL10,RITONAVIR,0.2274675318469957,[],['NCI']
EMT,CXCL10,ZIDOVUDINE,0.2274675318469957,[],['NCI']
EMT,BCL2,ORTATAXEL,0.2122105632475021,[],['TdgClinicalTrial']
EMT,BCL2,GSK4112,0.2122105632475021,['agonist'],['GuideToPharmacology']
EMT,BCL2,SR9009,0.2122105632475021,['agonist'],['GuideToPharmacology']
EMT,CXCL10,PEGINTERFERON ALFA-2A,0.2117801158575477,[],['PharmGKB']
EMT,VCAM1,DEXAMETHASONE,0.2047207786622962,[],['NCI']
EMT,CDKN2A,VEMURAFENIB,0.2015590677949248,[],"['CIViC', 'CKB-CORE']"
EMT,VCAM1,CYCLOSPORINE,0.2000145538654618,[],['NCI']
EMT,BCL2,NAVITOCLAX,0.1989474030445333,['inhibitor'],"['TTD', 'DTC', 'TALC', 'ChEMBL']"
EMT,CDKN2A,COBIMETINIB,0.1962548818003215,[],['CKB-CORE']
EMT,AQP1,VELDOREOTIDE,0.1962548818003215,['agonist'],['GuideToPharmacology']
EMT,AQP1,ACETAZOLAMIDE,0.1962548818003215,[],['NCI']
EMT,CXCL10,PEGINTERFERON ALFA-2B,0.1919257299959026,[],['PharmGKB']
EMT,BCL2,C5A,0.181894768497859,[],['NCI']
EMT,BCL2,RECOMBINANT INTERLEUKIN,0.181894768497859,[],['NCI']
EMT,CDKN2A,ALVOCIDIB,0.1775639406764813,[],['CKB-CORE']
EMT,CDKN2A,TEMOZOLOMIDE,0.1775639406764813,[],['CKB-CORE']
EMT,AQP1,SRIF-28,0.1717230215752813,['agonist'],['GuideToPharmacology']
EMT,AQP1,DIMETHYL SULFOXIDE,0.1717230215752813,[],['NCI']
EMT,APBA2,SB-408124,0.1673198671759151,['inhibitor'],['GuideToPharmacology']
EMT,CDKN2A,SAPANISERTIB,0.1621235980089612,[],['CKB-CORE']
EMT,CXCL10,OXALIPLATIN,0.1616216673649707,[],['NCI']
EMT,AQP1,THERAPEUTIC ANDROGEN,0.1616216673649707,[],['NCI']
EMT,CXCL10,TESTOSTERONE,0.1574775220479201,[],['NCI']
EMT,DKK1,OXALIPLATIN,0.1526426858446945,[],['CIViC']
EMT,CDKN2A,BUPARLISIB,0.1491537101682443,[],['CKB-CORE']
EMT,BCL2,EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR,0.1414737088316681,[],['NCI']
EMT,BCL2,TENIPOSIDE,0.1414737088316681,[],['NCI']
EMT,BCL2,GAMMA-INTERFERON,0.1414737088316681,[],['NCI']
EMT,BCL2,SR9011,0.1273263379485013,['agonist'],['GuideToPharmacology']
EMT,BCL2,EDARAVONE,0.1273263379485013,[],['TTD']
EMT,BCL2,TRAIL,0.1273263379485013,[],['NCI']
EMT,BCL2,ISOTRETINOIN,0.1193684418267199,[],['NCI']
EMT,BCL2,VENETOCLAX,0.1157512163168193,['inhibitor'],"['CGI', 'TTD', 'CIViC', 'ChEMBL']"
EMT,BCL2,PREGNANT MARE SERUM GONADOTROPIN,0.1157512163168193,[],['NCI']
EMT,BCL2,ALPHA-TOCOPHEROL,0.1157512163168193,[],['NCI']
EMT,BCL2,ORAL CONTRACEPTIVE,0.1157512163168193,[],['NCI']
EMT,BCL2,ESTRAMUSTINE,0.1157512163168193,[],['NCI']
EMT,BCL2,TAZAROTENE,0.1157512163168193,[],['NCI']
EMT,GABRP,ETOMIDATE,0.1151554379975416,['positive modulator'],"['DTC', 'ChEMBL']"
EMT,BCL2,SELENIUM,0.1123467687780893,[],['NCI']
EMT,CXCL10,ATORVASTATIN CALCIUM TRIHYDRATE,0.1116658792703434,[],['NCI']
EMT,CDKN2A,EVEROLIMUS,0.1096718457119443,[],['CKB-CORE']
EMT,GABRP,VENLAFAXINE,0.1087579136643448,[],['PharmGKB']
EMT,BCL2,METHYLPREDNISOLONE,0.106105281623751,[],['NCI']
EMT,BCL2,FAS LIGAND,0.106105281623751,[],['NCI']
EMT,BCL2,OBATOCLAX MESYLATE,0.106105281623751,['inhibitor'],['ChEMBL']
EMT,CDKN2A,LETROZOLE,0.1035789653946141,[],['CIViC']
EMT,CDKN2A,CETUXIMAB,0.1007795338974624,[],['CKB-CORE']
EMT,GABRP,HALAZEPAM,0.09788212229791037,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,GABRP,CLOTIAZEPAM,0.09788212229791037,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,GABRP,QUAZEPAM,0.09788212229791037,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,AQP1,GLYBURIDE,0.09474373604153453,[],['NCI']
EMT,CDKN2A,PANITUMUMAB,0.09322106885515273,[],['CIViC']
EMT,GABRP,CHLORDIAZEPOXIDE,0.09322106885515272,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,DKK1,IRINOTECAN HYDROCHLORIDE,0.09207019146187924,[],['CIViC']
EMT,BCL2,FLOXURIDINE,0.09094738424892951,[],['NCI']
EMT,GABRP,PRAZEPAM,0.08898374754355488,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,GABRP,TEMAZEPAM,0.08898374754355488,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,GABRP,CLOBAZAM,0.08898374754355488,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,GABRP,ESTAZOLAM,0.08511488895470468,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,BCL2,RIBAVIRIN,0.08376732759769821,[],"['NCI', 'PharmGKB']"
EMT,GABRP,[3H]AZIETOMIDATE,0.08156843524825864,[],['DTC']
EMT,AQP1,THERAPEUTIC GLUCOCORTICOID,0.08081083368248534,[],['NCI']
EMT,BCL2,URSODIOL,0.07957896121781331,[],['NCI']
EMT,GABRP,LORAZEPAM,0.07830569783832829,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,GABRP,CLONAZEPAM,0.07830569783832829,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,GABRP,FLUDIAZEPAM,0.07677029199836108,[],"['TEND', 'TdgClinicalTrial']"
EMT,GABRP,CINOLAZEPAM,0.07677029199836108,[],"['TEND', 'TdgClinicalTrial']"
EMT,GABRP,ADINAZOLAM,0.07677029199836108,[],"['TEND', 'TdgClinicalTrial']"
EMT,GABRP,OXAZEPAM,0.07529394022916183,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,BCL2,HYDROQUINONE,0.0748978458520596,[],['NCI']
EMT,BCL2,NONSTEROIDAL ANTIINFLAMMATORY DRUG,0.0748978458520596,[],['NCI']
EMT,BCL2,FOSBRETABULIN DISODIUM,0.0748978458520596,[],['NCI']
EMT,GABRP,DIAZEPAM,0.06750491192959335,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,CDKN2A,RONICICLIB,0.06658647775368053,[],['ClearityFoundationBiomarkers']
EMT,BCL2,RECOMBINANT INTERFERON,0.06529555792230836,[],"['NCI', 'PharmGKB']"
EMT,GABRP,CLORAZEPATE,0.06525474819860691,[],"['TEND', 'TdgClinicalTrial']"
EMT,CDKN2A,SIROLIMUS,0.06429039231389842,[],['CKB-CORE']
EMT,BCL2,PROTEASE INHIBITOR,0.06366316897425064,[],['NCI']
EMT,BCL2,4-PHENYLBUTYRIC ACID,0.06366316897425064,[],['NCI']
EMT,GABRP,BROMAZEPAM,0.06214737923676848,[],"['TEND', 'TdgClinicalTrial']"
EMT,GABRP,FLURAZEPAM,0.06214737923676848,[],"['TEND', 'TdgClinicalTrial']"
EMT,GABRP,NITRAZEPAM,0.06214737923676848,[],"['TEND', 'TdgClinicalTrial']"
EMT,BCL2,RECOMBINANT TRANSFORMING GROWTH FACTOR-BETA 1,0.06063158949928633,[],['NCI']
EMT,GABRP,TRIAZOLAM,0.05932249836236993,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,GABRP,ALPRAZOLAM,0.0575777189987708,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,BCL2,ERYTHROMYCIN,0.05535927736891361,[],['NCI']
EMT,GABRP,MIDAZOLAM HYDROCHLORIDE,0.05437895683217243,['positive modulator'],"['TEND', 'TdgClinicalTrial', 'ChEMBL']"
EMT,AQP1,ASCORBIC ACID,0.05283785279239426,[],['TTD']
EMT,BCL2,OXALIPLATIN,0.05026039655861894,[],"['NCI', 'ClearityFoundationBiomarkers']"
EMT,DKK1,FLUOROURACIL,0.05000363846636545,[],['CIViC']
EMT,AQP1,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,0.04906372045008039,[],['TTD']
EMT,CDKN2A,CARBOPLATIN,0.04335863667681523,[],['CKB-CORE']
EMT,GABRP,BUTABARBITAL SODIUM,0.04078421762412932,['positive modulator'],['ChEMBL']
EMT,GABRP,METHAQUALONE,0.04078421762412932,['positive modulator'],['ChEMBL']
EMT,GABRP,ETHCHLORVYNOL,0.04078421762412932,['positive modulator'],['ChEMBL']
EMT,GABRP,FLURAZEPAM HYDROCHLORIDE,0.04078421762412932,['positive modulator'],['ChEMBL']
EMT,GABRP,CLORAZEPATE DIPOTASSIUM,0.04078421762412932,['positive modulator'],['ChEMBL']
EMT,GABRP,TRICLOFOS SODIUM,0.04078421762412932,['positive modulator'],['ChEMBL']
EMT,GABRP,ABP-700,0.04078421762412932,['agonist'],['ChEMBL']
EMT,GABRP,ZURANOLONE,0.04078421762412932,['positive modulator'],['ChEMBL']
