Unnamed: 0,group,names,scores,logfoldchanges,pvals,pvals_adj
40,Luminal-like,IGHV1-46,17.339392,2.4110715,2.3723782388756562e-67,1.082667159923254e-65
41,Luminal-like,HIST1H4C,17.320267,1.0369695,3.3082070444716504e-67,1.4872118832759117e-65
42,Luminal-like,TDO2,17.169884,2.1470835,4.4630607997866584e-66,1.9768734013172667e-64
43,Luminal-like,PDK4,16.869492,4.025857,7.544233822222343e-64,3.156004482296347e-62
44,Luminal-like,CYR61,16.280241,1.3603296,1.3633160707987414e-59,5.332867539280271e-58
45,Luminal-like,ANXA2R,16.091927,2.336375,2.906515711365127e-58,1.1081551041306028e-56
46,Luminal-like,TNIK,14.941838,2.3299403,1.760513307441583e-50,6.388754315679575e-49
47,Luminal-like,IGHV4-39,14.933834,1.9758638,1.9851468706341078e-50,7.118169493273728e-49
48,Luminal-like,IGHV3-21,14.684794,2.1420357,8.067900004700135e-49,2.7931626223168747e-47
50,Luminal-like,LDLRAD4,13.992373,2.0290704,1.735216888970137e-44,5.333135989365359e-43
51,Luminal-like,SLC40A1,13.688274,2.0585659,1.1930895799363429e-42,3.5580057571963023e-41
52,Luminal-like,CYP4Z1,13.311525,2.5249577,1.983908521585028e-40,5.8014878320525294e-39
54,Luminal-like,IGLV2-23,12.94178,1.9311132,2.61499036491575e-38,7.390065974936208e-37
56,Luminal-like,ANGPTL4,12.472759,1.8040084,1.051218311467397e-35,2.802008454990973e-34
57,Luminal-like,EGFL7,12.418114,1.5791986,2.084175685941876e-35,5.5066115491727464e-34
58,Luminal-like,RCAN1,12.393723,1.6846704,2.8261519749420394e-35,7.402060650891673e-34
59,Luminal-like,CCL28,12.365358,1.0857213,4.0241058418672506e-35,1.044879896181393e-33
60,Luminal-like,HIST1H1E,12.288602,1.5013164,1.0429367240199203e-34,2.639769254410084e-33
61,Luminal-like,CH17-224D4.2,12.124238,2.0860226,7.858748263872304e-34,1.924434940714096e-32
63,Luminal-like,IGLV3-25,11.384224,1.188186,5.011236620526715e-30,1.1180625704464046e-28
67,Luminal-like,LTF,10.760213,1.5138849,5.3047415933854024e-27,1.0869307264814174e-25
69,Luminal-like,EGFR,10.615279,1.2326007,2.530356136422267e-26,5.0809551219359125e-25
70,Luminal-like,CRISP3,10.461641,1.8827312,1.2959115757869002e-25,2.5346010819935994e-24
71,Luminal-like,HPGD,10.442016,2.1071875,1.5939007209186917e-25,3.0774544688507046e-24
72,Luminal-like,IGHV1-3,10.350571,2.169812,4.159969338317779e-25,7.980781940772708e-24
73,Luminal-like,IGLV1-44,10.329199,1.7959255,5.199306403227624e-25,9.91158916868456e-24
74,Luminal-like,CLEC11A,10.22327,1.6479137,1.5598706101061586e-24,2.936456423524843e-23
75,Luminal-like,IGHV3-23,10.070362,1.7058145,7.470288256855334e-24,1.3803992778925317e-22
76,Luminal-like,RASL11A,9.965958,2.28659,2.14794608423796e-23,3.920977942863476e-22
77,Luminal-like,GRB7,9.938927,1.6132112,2.818462645433617e-23,5.113981619304851e-22
78,Luminal-like,PSORS1C2,9.737206,3.2459087,2.092262110314783e-22,3.663891555969841e-21
79,Luminal-like,IGLV2-14,9.734573,1.164761,2.1471756300221023e-22,3.738319651807268e-21
80,Luminal-like,VWA1,9.656651,1.6111475,4.606798108309159e-22,7.974526380590338e-21
81,Luminal-like,LBP,9.595604,1.604325,8.342699755923386e-22,1.4358978094194992e-20
83,Luminal-like,ERBB2,9.531803,1.3112935,1.5457507737532988e-21,2.6010063299133714e-20
84,Luminal-like,DNAJA4,9.380301,1.4905207,6.578447699771619e-21,1.0947118492658628e-19
85,Luminal-like,IGKV1-8,9.370747,2.3321323,7.202151638552853e-21,1.191916523918747e-19
86,Luminal-like,IL20,9.328174,3.4429967,1.0771108328845283e-20,1.7631836025261957e-19
87,Luminal-like,DUSP10,9.320648,2.059184,1.1563162391690407e-20,1.8826078445281897e-19
88,Luminal-like,IGKV3D-11,9.189088,2.3914669,3.9618486948544424e-20,6.313803316879142e-19
89,Luminal-like,IGLV3-1,9.060237,1.1907291,1.3016805755764143e-19,2.052702562113173e-18
90,Luminal-like,IGHV1-18,9.026745,1.7758889,1.7685402605909625e-19,2.774397533802072e-18
91,Luminal-like,LTBP4,8.921295,1.4199418,4.608657026711916e-19,7.118602545875019e-18
92,Luminal-like,IGLV3-21,8.902854,1.4928322,5.4428696257378025e-19,8.364246588123601e-18
94,Luminal-like,TIAM1,8.697729,2.401994,3.3859225853124357e-18,5.048712290574781e-17
95,Luminal-like,MYO1B,8.68339,1.001014,3.8414671182957015e-18,5.69975318241707e-17
96,Luminal-like,AP000769.1,8.605844,1.6504432,7.575778453197571e-18,1.1076817816034508e-16
98,Luminal-like,GLA,8.514274,1.347429,1.6763820221503286e-17,2.4159151438836313e-16
99,Luminal-like,TSPAN1,8.286842,1.530836,1.1629486996461214e-16,1.6680007063495804e-15
100,Luminal-like,GPX3,7.732165,1.4428784,1.0573307343390024e-14,1.4345406179410245e-13
101,Luminal-like,IGHV3-30,7.66985,1.4073473,1.721976796751613e-14,2.3154437999177937e-13
103,Luminal-like,CX3CL1,7.359452,1.4339616,1.8466718436678105e-13,2.4288976389202818e-12
104,Luminal-like,IGLV1-47,6.9485693,1.3685347,3.690086593997057e-12,4.59278546327237e-11
105,Luminal-like,NDUFA4L2,6.450317,1.3934078,1.1161664756995546e-10,1.2880817719567272e-09
106,Luminal-like,ELN,6.2656674,3.3552337,3.7123212734907685e-10,4.172205849162013e-09
107,Luminal-like,ALPL,6.2397475,2.6764982,4.382781063304185e-10,4.90741136158818e-09
109,Luminal-like,CYP4B1,6.141577,2.0837228,8.170632034079703e-10,9.014631387050577e-09
110,Luminal-like,TFF1,6.022605,1.7540199,1.7163177522530154e-09,1.8798360253767573e-08
111,Luminal-like,IGHV1-2,6.0098777,1.7162248,1.8566361372477342e-09,2.0261550889094842e-08
112,Luminal-like,IGLV4-69,5.982174,2.3982227,2.2017918173018716e-09,2.3684989120404423e-08
113,Luminal-like,NPW,5.9466105,1.3689326,2.737517564050483e-09,2.9033108813098783e-08
115,Luminal-like,JAKMIP1,5.6417537,2.2278214,1.683265808374032e-08,1.701341145913619e-07
116,Luminal-like,TSPAN8,5.523781,1.5377021,3.317809577480903e-08,3.276472933564748e-07
117,Luminal-like,CYP4X1,5.3828287,1.8063699,7.332437057885941e-08,7.12429045753305e-07
119,Luminal-like,POU2F2,5.2916117,1.5006081,1.2124308244541866e-07,1.1556460896379776e-06
121,Luminal-like,IGLV3-19,5.1287107,1.0135142,2.917328888137643e-07,2.67896177166786e-06
122,Luminal-like,PTP4A3,5.0709114,1.2686555,3.95915220637815e-07,3.6136261956396927e-06
123,Luminal-like,SERHL2,4.832485,1.1768657,1.348392536607636e-06,1.2051508368730562e-05
124,Luminal-like,MPZL3,4.8247647,1.7292756,1.4016858506622387e-06,1.249076266921498e-05
125,Luminal-like,SPTSSB,4.8048277,1.362829,1.5488474813307188e-06,1.3761441338549042e-05
126,Luminal-like,GABRD,4.768391,3.0666475,1.857028799653937e-06,1.6402846758233602e-05
127,Luminal-like,RASD1,4.661353,1.3845344,3.1413734968144308e-06,2.742555644175381e-05
128,Luminal-like,C2CD4B,4.587193,3.1014028,4.4924491067196345e-06,3.877150919610183e-05
129,Luminal-like,EDN2,4.5460978,1.2516536,5.464971463474884e-06,4.702998299424672e-05
130,Luminal-like,TNFRSF18,4.4039373,2.015906,1.0630365033232006e-05,8.968812179298264e-05
132,Luminal-like,IGKV1-27,4.3782682,2.298001,1.1962605244827431e-05,0.0001000871305483
133,Luminal-like,IGKV1-17,4.3603473,2.2307434,1.2985619672047518e-05,0.0001080460951718
135,Luminal-like,FFAR2,4.1205273,2.6489725,3.780060729328103e-05,0.000305242437446
136,Luminal-like,DERL3,4.0414624,1.1031237,5.311891951633024e-05,0.0004232650412253
138,Luminal-like,LINC00863,4.0191793,1.2990934,5.84011606646516e-05,0.0004629060418998
140,Luminal-like,IGHV3-48,3.7997193,1.9239314,0.0001448600305658,0.0011102249670845
141,Luminal-like,HIST1H3C,3.7512054,2.13692,0.0001759864368992,0.0013353402589417
142,Luminal-like,CH17-262H11.1,3.7225866,2.1204703,0.0001971922053444,0.0014923189007475
143,Luminal-like,PBX4,3.536776,1.5575414,0.000405043083941,0.002918635810599
145,Luminal-like,RBP5,3.503475,1.1003286,0.0004592299566108,0.0032855121836389
146,Luminal-like,IL33,3.5027084,1.4535563,0.0004605532883871,0.003287171811901
147,Luminal-like,EPOR,3.466625,1.5868502,0.0005270368004436,0.0037528010471306
150,Luminal-like,SCUBE2,3.4356277,2.7154584,0.0005911825245164,0.0041701212268
151,Luminal-like,IGHV3-73,3.3991308,2.3386464,0.000676003629135,0.0047462072982628
152,Luminal-like,EGR4,3.2751658,1.3950664,0.0010560000453461,0.0072288003104151
153,Luminal-like,IGHV4-61,3.2336798,2.608515,0.0012220634827733,0.0083089282395334
3012,Basal-like/EMT,FDCSP,54.763336,8.76603,0.0,0.0
3013,Basal-like/EMT,CDKN2A,33.83699,3.4984832,5.639016391259082e-251,4.2461793426180894e-248
3014,Basal-like/EMT,MARCO,32.209927,5.9040217,1.281616037448275e-227,6.433712507990342e-225
3015,Basal-like/EMT,GAL,32.04605,5.4832354,2.491802067084948e-225,1.072186832294266e-222
3016,Basal-like/EMT,IGKV1-5,28.667332,3.2290094,9.749209662644653e-181,3.670577437985712e-178
3017,Basal-like/EMT,CSRP2,27.47439,2.5673547,3.552772732423768e-166,1.0700951470060389e-163
3018,Basal-like/EMT,GABRP,26.273342,3.2821314,3.868574947428719e-152,8.96319057050408e-150
3019,Basal-like/EMT,NSMCE4A,25.310778,2.9312825,2.4307034399310812e-141,4.57579922567026e-139
3020,Basal-like/EMT,VIM,23.37732,2.0278306,7.2709342839561835e-121,9.521762636206969e-119
3022,Basal-like/EMT,CD74,18.760862,1.3799614,1.5781542825150979e-78,1.639103689288095e-76
3023,Basal-like/EMT,HULC,17.946291,9.905605,5.130370561796725e-72,4.68262913094901e-70
3025,Basal-like/EMT,CRABP1,16.632431,2.2540681,4.0578865420591195e-62,2.842407968530714e-60
3026,Basal-like/EMT,IGLV3-25,16.418447,2.679818,1.4113075983067442e-60,9.66104201386344e-59
3027,Basal-like/EMT,DLK1,16.09018,2.891058,2.989665511321986e-58,1.9575809826308308e-56
3028,Basal-like/EMT,RP1-60O19.1,15.913027,3.6666827,5.146371499972295e-57,3.2293481162326147e-55
3029,Basal-like/EMT,CD24,15.707385,1.2805228,1.3461825161096955e-55,8.109403477044808e-54
3030,Basal-like/EMT,IGLV1-51,15.650958,3.9662726,3.2725309490073986e-55,1.932718278119664e-53
3031,Basal-like/EMT,IGKV3-11,14.901786,1.7053218,3.2088714342975336e-50,1.7259144214471734e-48
3032,Basal-like/EMT,MT1E,14.894048,1.8841236,3.602814270369808e-50,1.903802909184888e-48
3033,Basal-like/EMT,IGLV2-14,14.456128,2.6664686,2.293414386187818e-47,1.1512940218662849e-45
3034,Basal-like/EMT,CPM,13.906049,4.0132117,5.820750796647604e-44,2.8277582902423525e-42
3036,Basal-like/EMT,PLTP,13.235547,2.1080236,5.469694689752713e-40,2.4227530008139954e-38
3037,Basal-like/EMT,BCL2A1,12.860106,4.7132154,7.547219281811567e-38,3.157253399557839e-36
3038,Basal-like/EMT,DKK1,12.697247,2.0477867,6.124673668830756e-37,2.492907714934897e-35
3039,Basal-like/EMT,UCHL1,12.207595,1.3912598,2.831343386476565e-34,1.052840281489804e-32
3040,Basal-like/EMT,CXCL10,12.0949335,2.4998567,1.1233265930399399e-33,4.126170363702804e-32
3041,Basal-like/EMT,S100A1,11.984019,1.711875,4.309119696161912e-33,1.5091940145162415e-31
3042,Basal-like/EMT,IGLV3-1,11.638607,2.4628143,2.622627246329479e-31,8.818911522783426e-30
3043,Basal-like/EMT,IGLV7-46,11.261933,7.8051014,2.0227269014999498e-29,6.622231986215052e-28
3045,Basal-like/EMT,VCAM1,10.766477,4.565502,4.956066661365784e-27,1.3951096059844617e-25
3046,Basal-like/EMT,IGKV3-20,10.670526,1.1035758,1.398332393327302e-26,3.794393845677328e-25
3047,Basal-like/EMT,GPM6B,10.255854,1.8157445,1.1138709196722281e-24,2.843202720383687e-23
3048,Basal-like/EMT,IGLV1-40,10.030244,1.4058806,1.1223919680367709e-23,2.771020170267831e-22
3049,Basal-like/EMT,IGLV3-19,9.567188,2.889734,1.0985280910684496e-21,2.5066413714380075e-20
3050,Basal-like/EMT,IGLV2-11,9.30712,3.900466,1.3134541628066574e-20,2.846132329765217e-19
3053,Basal-like/EMT,FBLN1,8.995495,1.7020844,2.35170150475917e-19,4.722216621556413e-18
3054,Basal-like/EMT,IGKV1-9,8.897785,1.1303301,5.697194419604562e-19,1.1289440520953252e-17
3055,Basal-like/EMT,BCL2,8.804636,3.2323902,1.3127832934812621e-18,2.584381228735661e-17
3056,Basal-like/EMT,IGHV4-34,8.800454,3.660188,1.362639726026183e-18,2.6479166805102338e-17
3057,Basal-like/EMT,JCHAIN,8.774935,2.5928068,1.7100331826439146e-18,3.2806496472124014e-17
3058,Basal-like/EMT,MT1G,8.529108,2.2649243,1.4747990458564266e-17,2.742033781555282e-16
3059,Basal-like/EMT,IGLV6-57,7.9231772,4.3557563,2.315169840820709e-15,3.87405086697332e-14
3060,Basal-like/EMT,IGLV3-21,7.8332453,2.2190104,4.754346265434567e-15,7.868181841477428e-14
3061,Basal-like/EMT,IGHV2-26,7.3569283,7.776555,1.8819000035156118e-13,2.90681169773796e-12
3062,Basal-like/EMT,IGLV2-18,7.168442,5.308105,7.58560761679033e-13,1.1423925070886238e-11
3063,Basal-like/EMT,CD83,7.066393,2.171704,1.5901271327114542e-12,2.359341341737389e-11
3064,Basal-like/EMT,IGLV3-9,6.8644366,4.954602,6.6754175292528466e-12,9.66651807601422e-11
3065,Basal-like/EMT,IGHV3-15,6.8557687,4.6574903,7.093010575763741e-12,1.022208031301454e-10
3066,Basal-like/EMT,IGLV1-47,6.8114424,2.1874182,9.662500789543275e-12,1.3858786846716358e-10
3067,Basal-like/EMT,ACTG2,6.7373924,1.61586,1.6125421327303323e-11,2.2696153755998878e-10
3068,Basal-like/EMT,MPZ,6.728144,2.905862,1.7184086548410822e-11,2.407370636456437e-10
3069,Basal-like/EMT,AQP1,6.6897693,1.9284301,2.235228287517386e-11,3.1169016675936875e-10
3071,Basal-like/EMT,CCL4,6.464706,2.7905135,1.0149613632995806e-10,1.346724064430985e-09
3072,Basal-like/EMT,C1QB,6.4292445,2.3867466,1.282395310693018e-10,1.694111699915513e-09
3073,Basal-like/EMT,IGHV3-53,6.2377205,4.2516246,4.4399336037239005e-10,5.814382614963648e-09
3076,Basal-like/EMT,IGHV3-30,6.2057424,2.0971613,5.443930193022668e-10,7.007315274095844e-09
3077,Basal-like/EMT,RAMP2,6.192633,3.186454,5.916727726752046e-10,7.519486883112726e-09
3078,Basal-like/EMT,LYZ,6.112846,1.9594197,9.786978132039188e-10,1.2081302513812311e-08
3079,Basal-like/EMT,SCG5,5.9805603,4.758325,2.223710965291823e-09,2.6791269709835885e-08
3080,Basal-like/EMT,IGHV5-51,5.8687615,3.194881,4.390626675419326e-09,5.1258013745593065e-08
3081,Basal-like/EMT,C1QC,5.8336444,2.4125435,5.4229690808117e-09,6.210639875058876e-08
3082,Basal-like/EMT,RGS16,5.8021,1.8775109,6.5489419129960796e-09,7.443552091299696e-08
3083,Basal-like/EMT,UBD,5.7338834,1.9992445,9.815682738759814e-09,1.1031655376546477e-07
3084,Basal-like/EMT,IGHV3-66,5.6355486,4.107782,1.7450208035610437e-08,1.9112736946639506e-07
3085,Basal-like/EMT,IGLV2-8,5.6189733,5.121139,1.920955358475253e-08,2.096346934683864e-07
3086,Basal-like/EMT,IGLV1-44,5.5121284,1.6806468,3.5452060675500224e-08,3.813628812664523e-07
3088,Basal-like/EMT,IGHV3-23,5.3292212,1.5946337,9.863486143942324e-08,1.0244420781225613e-06
3090,Basal-like/EMT,NKG7,4.7983036,2.9171135,1.6001504715966902e-06,1.5547268453062035e-05
3091,Basal-like/EMT,DAPP1,4.7603064,2.1343994,1.9329915657928357e-06,1.860118401331636e-05
3092,Basal-like/EMT,IGHV3-11,4.7578716,3.3927152,1.95644658351427e-06,1.8766933469888477e-05
3094,Basal-like/EMT,IGKV1-16,4.45195,2.7838888,8.509387865743422e-06,7.719962726391322e-05
3095,Basal-like/EMT,IGHV1-18,4.4492903,1.658511,8.615457189227387e-06,7.769388339506854e-05
3096,Basal-like/EMT,CXCL13,4.3221784,3.7405376,1.5449622773598357e-05,0.0001364641166981
3097,Basal-like/EMT,C1QA,4.27912,2.0804503,1.8763354800293623e-05,0.0001652491949078
3098,Basal-like/EMT,COL4A2,4.201559,1.224838,2.6508303077522674e-05,0.0002314290112159
3099,Basal-like/EMT,IGLV2-23,4.179506,1.377622,2.9214318049415955e-05,0.0002521304468906
3100,Basal-like/EMT,IGKV1-6,4.1742816,3.7059953,2.989280852873915e-05,0.0002572489693958
3101,Basal-like/EMT,APBA2,4.0307693,2.8015668,5.559461790020958e-05,0.0004664372955861
3102,Basal-like/EMT,RP11-290D2.6,3.8750608,1.6783613,0.0001065980319639,0.0008677656007444
3103,Basal-like/EMT,ODAM,3.797235,1.514595,0.0001463190914017,0.0011783772815562
3104,Basal-like/EMT,LTF,3.7404366,1.1816345,0.0001837009622099,0.0014560718373065
3105,Basal-like/EMT,RSPO3,3.6576397,1.4881086,0.0002545485483213,0.0020018282703499
3106,Basal-like/EMT,IL12RB2,3.655639,2.6351757,0.0002565422189132,0.002007026398355
3107,Basal-like/EMT,CD8A,3.5763307,3.16531,0.0003484507477738,0.0026773817660579
3108,Basal-like/EMT,IRF8,3.4760628,3.5722108,0.0005088333405003,0.003802992609397
3109,Basal-like/EMT,CYYR1,3.44267,1.3419307,0.0005760015937824,0.0042943485160216
3112,Basal-like/EMT,CXCL9,3.307916,2.8029976,0.0009399299545115,0.0068054543821846
3114,Basal-like/EMT,PRSS2,3.2523575,3.8184648,0.001144519943225,0.0081883469572301
6024,Squamous,C6orf15,49.472134,7.1438155,0.0,0.0
6025,Squamous,KLK6,47.21158,5.699846,0.0,0.0
6026,Squamous,WFDC2,45.843212,4.885353,0.0,0.0
6027,Squamous,B2M,45.630062,2.4969606,0.0,0.0
6028,Squamous,RARRES1,45.393173,4.6520743,0.0,0.0
6029,Squamous,SAA1,44.9767,4.868775,0.0,0.0
6030,Squamous,KRT5,43.6625,4.2352257,0.0,0.0
6031,Squamous,TACSTD2,43.223816,2.7678006,0.0,0.0
6032,Squamous,S100A2,43.136387,3.8839884,0.0,0.0
6033,Squamous,KRT6B,42.54853,3.9650297,0.0,0.0
6034,Squamous,KRT14,42.427406,4.691874,0.0,0.0
6035,Squamous,LY6D,42.096203,4.24629,0.0,0.0
6036,Squamous,KLK5,41.465275,5.0005,0.0,0.0
6037,Squamous,RPL13A,41.419502,2.321111,0.0,0.0
6038,Squamous,TNFRSF11B,39.781326,4.577636,0.0,0.0
6039,Squamous,SERPINE2,39.538376,3.512299,0.0,0.0
6040,Squamous,MMP7,38.805405,4.260148,0.0,0.0
6041,Squamous,TIMP3,38.395786,3.110664,0.0,0.0
6042,Squamous,CHI3L1,38.14518,3.8480775,0.0,0.0
6043,Squamous,SAA2,37.852257,3.5562239,0.0,0.0
6044,Squamous,POSTN,37.752888,3.627519,0.0,0.0
6045,Squamous,LCN2,37.42804,3.5405765,1.3676087184749172e-306,1.8723806636574776e-304
6046,Squamous,CRYAB,36.955647,2.9483728,5.910702591787546e-299,7.740450524549604e-297
6047,Squamous,EFEMP1,36.750435,3.6854866,1.1442046632951034e-295,1.435976852435355e-293
6048,Squamous,TIMP1,36.748634,2.6844873,1.2225032039966688e-295,1.4728718601751867e-293
6049,Squamous,MGP,36.736465,3.993917,1.9125216321136987e-295,2.2155827522794084e-293
6050,Squamous,CALML5,36.66677,3.132522,2.4733935797324213e-294,2.759207948945945e-292
6051,Squamous,HLA-DQA2,36.602085,3.6896613,2.6498468668261003e-293,2.8504781296000763e-291
6052,Squamous,CD74,36.530533,2.7314577,3.6338116885418812e-292,3.7741520020303946e-290
6053,Squamous,C2orf40,35.96486,3.8900902,2.9651257992820397e-283,2.976986302479168e-281
6054,Squamous,KRT15,35.56746,2.8169537,4.463656655692619e-277,4.3369464022407e-275
6055,Squamous,CDK6,34.906956,2.6811965,5.830675559031387e-267,5.488123369938293e-265
6056,Squamous,AARD,34.87561,2.6747146,1.7421399572096775e-266,1.5900986518531963e-264
6057,Squamous,KRT16,34.00899,2.6835907,1.6404939411040448e-253,1.453284632530995e-251
6058,Squamous,VCAN,33.189037,2.6951642,1.5496482802167916e-241,1.333583034289422e-239
6059,Squamous,PRKCDBP,32.949005,2.8149252,4.3717949180320164e-238,3.65773508142012e-236
6060,Squamous,COL8A1,32.813934,3.4329813,3.7260468891633e-236,3.033203575718881e-234
6061,Squamous,C1S,32.795,2.5901337,6.9387857751312805e-236,5.499900724919848e-234
6062,Squamous,NTRK2,32.72461,4.966948,6.976818576273056e-235,5.388250654290883e-233
6063,Squamous,AKR1C3,32.65772,3.6013198,6.226107921512884e-234,4.6882592648992015e-232
6064,Squamous,PDGFA,31.581337,3.5306556,6.661368901722767e-219,4.893669056582676e-217
6065,Squamous,PLA2G7,31.355976,4.1107597,8.065013756968863e-216,5.649260799067492e-214
6066,Squamous,PRSS21,31.046179,2.8920984,1.2847156166199676e-211,8.794462357407598e-210
6067,Squamous,CDH11,31.028828,4.33,2.2025449619495118e-211,1.4742367611982064e-209
6068,Squamous,PODXL,29.84529,2.793337,1.0105611087174791e-195,6.616978390124013e-194
6069,Squamous,SYT8,29.279932,4.4343514,1.8681284745803178e-188,1.1971921203055142e-186
6070,Squamous,ZNF90,29.261364,2.0198648,3.21901305557712e-188,2.019930692374643e-186
6071,Squamous,NMB,28.852552,2.3225489,4.7066384630222715e-183,2.8931418470659355e-181
6072,Squamous,CXCL17,28.744398,2.2680132,1.0642104416479061e-181,6.410803700486986e-180
6073,Squamous,UCHL1,28.338535,1.9832029,1.1588800066234932e-176,6.844208980294043e-175
6074,Squamous,RP11-10A14.5,28.040693,3.220186,5.187471673180854e-173,3.004743207619372e-171
6075,Squamous,TK1,27.749483,2.2249207,1.767718696550543e-169,1.004597870567969e-167
6076,Squamous,PLAUR,27.720917,1.9226463,3.90781301353414e-169,2.1796912586601534e-167
6077,Squamous,ATM,27.113274,2.0982468,6.867645122184842e-162,3.7609722014583167e-160
6078,Squamous,SGK1,26.768198,1.7454687,7.582372639322819e-158,4.078233283864345e-156
6079,Squamous,TPM2,26.35448,1.675087,4.55992751644025e-153,2.4095616981610584e-151
6080,Squamous,MT1X,26.300108,1.7524558,1.9123004884737296e-152,9.930774260832541e-151
6081,Squamous,C1R,26.260494,2.5280733,5.424163291858561e-152,2.76908132797932e-150
6082,Squamous,C3,25.93202,2.3254726,2.900790793595306e-148,1.4561969783848437e-146
6083,Squamous,GJB2,25.831701,2.5327504,3.9068138764978924e-147,1.929069409182238e-145
6084,Squamous,VIM,25.663649,2.3431478,2.9773332771772553e-145,1.446407714654499e-143
6085,Squamous,C1QTNF1,25.393654,3.914039,2.9635879929313618e-142,1.4168773070967084e-140
6086,Squamous,IGHG3,24.941423,2.5573723,2.6457112999586883e-137,1.2451378805430578e-135
6087,Squamous,TM4SF18,24.917692,3.261338,4.784917314959201e-137,2.217257069639556e-135
6088,Squamous,AREG,24.90948,2.2675326,5.873560302448714e-137,2.6804793380265957e-135
6089,Squamous,CA2,24.530611,2.445712,6.9657955344391925e-133,3.1314889775717684e-131
6091,Squamous,NQO1,24.37306,1.467907,3.3024814898361997e-131,1.4416049633893672e-129
6092,Squamous,THBS1,24.070385,2.95214,5.107433729619112e-128,2.19765577051611e-126
6093,Squamous,IGKC,23.30184,1.1505263,4.2469330387206376e-120,1.776633654531467e-118
6094,Squamous,KIAA0101,23.249949,2.5158408,1.4242566750247466e-119,5.876522061882927e-118
6095,Squamous,HIGD1A,23.00887,1.4912739,3.799485311564507e-117,1.546493210598959e-115
6096,Squamous,ISLR,22.090162,2.2255056,3.929775425747805e-108,1.5574320503095248e-106
6097,Squamous,AC058791.1,21.762539,2.8641422,5.255589948955091e-105,2.05582297743542e-103
6098,Squamous,TSKU,20.799295,1.3209723,4.39217902585286e-96,1.6960568238293352e-94
6099,Squamous,TNFAIP2,20.610891,1.6543343,2.191563001245325e-94,8.355680708545467e-93
